"ID","Score","Rate",
"0","0","0",
"1","1","0.04",
"2","2","0.08",
"3","3","0.1",
"4","4","0.12",
"5","5","0.14",
"6","6","0.16",
"7","7","0.18",
"8","8","0.2",
"9","9","0.22",
"10","10","0.24",
"11","11","0.26",
"12","12","0.28",
"13","13","0.3",
"14","14","0.31",
"15","15","0.32",
"16","16","0.33",
"17","17","0.34",
"18","18","0.35",
"19","19","0.36",
"20","20","0.37",
"21","21","0.38",
"22","22","0.39",
"23","23","0.4",
"24","24","0.41",
"25","25","0.42",
"26","26","0.43",
"27","27","0.44",
"28","28","0.45",
"29","29","0.46",
"30","30","0.47",
"31","31","0.48",
"32","32","0.49",
"33","33","0.5",
"34","34","0.51",
"35","35","0.52",
"36","36","0.53",
"37","37","0.53",
"38","38","0.54",
"39","39","0.54",
"40","40","0.55",
"41","41","0.55",
"42","42","0.55",
"43","43","0.56",
"44","44","0.56",
"45","45","0.57",
"46","46","0.57",
"47","47","0.57",
"48","48","0.58",
"49","49","0.58",
"50","50","0.58",
"51","51","0.59",
"52","52","0.59",
"53","53","0.59",
"54","54","0.6",
"55","55","0.6",
"56","56","0.6",
"57","57","0.61",
"58","58","0.61",
"59","59","0.61",
"60","60","0.62",
"61","61","0.62",
"62","62","0.62",
"63","63","0.63",
"64","64","0.63",
"65","65","0.63",
"66","66","0.63",
"67","67","0.64",
"68","68","0.64",
"69","69","0.64",
"70","70","0.65",
"71","71","0.65",
"72","72","0.65",
"73","73","0.65",
"74","74","0.66",
"75","75","0.66",
"76","76","0.66",
"77","77","0.66",
"78","78","0.67",
"79","79","0.67",
"80","80","0.67",
"81","81","0.68",
"82","82","0.68",
"83","83","0.68",
"84","84","0.68",
"85","85","0.68",
"86","86","0.69",
"87","87","0.69",
"88","88","0.69",
"89","89","0.69",
"90","90","0.7",
"91","91","0.7",
"92","92","0.7",
"93","93","0.7",
"94","94","0.71",
"95","95","0.71",
"96","96","0.71",
"97","97","0.71",
"98","98","0.71",
"99","99","0.72",
"100","100","0.75",
"101","101","0.75",
"102","102","0.75",
"103","103","0.75",
"104","104","0.75",
"105","105","0.75",
"106","106","0.75",
"107","107","0.75",
"108","108","0.75",
"109","109","0.75",
"110","110","0.76",
"111","111","0.76",
"112","112","0.76",
"113","113","0.76",
"114","114","0.76",
"115","115","0.76",
"116","116","0.76",
"117","117","0.76",
"118","118","0.76",
"119","119","0.76",
"120","120","0.77",
"121","121","0.77",
"122","122","0.77",
"123","123","0.77",
"124","124","0.77",
"125","125","0.77",
"126","126","0.77",
"127","127","0.77",
"128","128","0.77",
"129","129","0.77",
"130","130","0.78",
"131","131","0.78",
"132","132","0.78",
"133","133","0.78",
"134","134","0.78",
"135","135","0.78",
"136","136","0.78",
"137","137","0.78",
"138","138","0.78",
"139","139","0.78",
"140","140","0.79",
"141","141","0.79",
"142","142","0.79",
"143","143","0.79",
"144","144","0.79",
"145","145","0.79",
"146","146","0.79",
"147","147","0.79",
"148","148","0.79",
"149","149","0.79",
"150","150","0.8",
"151","151","0.8",
"152","152","0.8",
"153","153","0.8",
"154","154","0.8",
"155","155","0.8",
"156","156","0.8",
"157","157","0.8",
"158","158","0.8",
"159","159","0.8",
"160","160","0.81",
"161","161","0.81",
"162","162","0.81",
"163","163","0.81",
"164","164","0.81",
"165","165","0.81",
"166","166","0.81",
"167","167","0.81",
"168","168","0.81",
"169","169","0.81",
"170","170","0.82",
"171","171","0.82",
"172","172","0.82",
"173","173","0.82",
"174","174","0.82",
"175","175","0.82",
"176","176","0.82",
"177","177","0.82",
"178","178","0.82",
"179","179","0.82",
"180","180","0.83",
"181","181","0.83",
"182","182","0.83",
"183","183","0.83",
"184","184","0.83",
"185","185","0.83",
"186","186","0.83",
"187","187","0.83",
"188","188","0.83",
"189","189","0.83",
"190","190","0.84",
"191","191","0.84",
"192","192","0.84",
"193","193","0.84",
"194","194","0.84",
"195","195","0.84",
"196","196","0.84",
"197","197","0.84",
"198","198","0.84",
"199","199","0.84",
"200","200","0.85",
"201","201","0.85",
"202","202","0.85",
"203","203","0.85",
"204","204","0.85",
"205","205","0.85",
"206","206","0.85",
"207","207","0.85",
"208","208","0.85",
"209","209","0.85",
"210","210","0.85",
"211","211","0.85",
"212","212","0.85",
"213","213","0.85",
"214","214","0.85",
"215","215","0.85",
"216","216","0.85",
"217","217","0.85",
"218","218","0.85",
"219","219","0.85",
"220","220","0.86",
"221","221","0.86",
"222","222","0.86",
"223","223","0.86",
"224","224","0.86",
"225","225","0.86",
"226","226","0.86",
"227","227","0.86",
"228","228","0.86",
"229","229","0.86",
"230","230","0.86",
"231","231","0.86",
"232","232","0.86",
"233","233","0.86",
"234","234","0.86",
"235","235","0.86",
"236","236","0.86",
"237","237","0.86",
"238","238","0.86",
"239","239","0.86",
"240","240","0.87",
"241","241","0.87",
"242","242","0.87",
"243","243","0.87",
"244","244","0.87",
"245","245","0.87",
"246","246","0.87",
"247","247","0.87",
"248","248","0.87",
"249","249","0.87",
"250","250","0.88",
"251","251","0.88",
"252","252","0.88",
"253","253","0.88",
"254","254","0.88",
"255","255","0.88",
"256","256","0.88",
"257","257","0.88",
"258","258","0.88",
"259","259","0.88",
"260","260","0.88",
"261","261","0.88",
"262","262","0.88",
"263","263","0.88",
"264","264","0.88",
"265","265","0.88",
"266","266","0.88",
"267","267","0.88",
"268","268","0.88",
"269","269","0.88",
"270","270","0.89",
"271","271","0.89",
"272","272","0.89",
"273","273","0.89",
"274","274","0.89",
"275","275","0.89",
"276","276","0.89",
"277","277","0.89",
"278","278","0.89",
"279","279","0.89",
"280","280","0.89",
"281","281","0.89",
"282","282","0.89",
"283","283","0.89",
"284","284","0.89",
"285","285","0.89",
"286","286","0.89",
"287","287","0.89",
"288","288","0.89",
"289","289","0.89",
"290","290","0.9",
"291","291","0.9",
"292","292","0.9",
"293","293","0.9",
"294","294","0.9",
"295","295","0.9",
"296","296","0.9",
"297","297","0.9",
"298","298","0.9",
"299","299","0.9",
"300","300","0.91",
"301","301","0.91",
"302","302","0.91",
"303","303","0.91",
"304","304","0.91",
"305","305","0.91",
"306","306","0.91",
"307","307","0.91",
"308","308","0.91",
"309","309","0.91",
"310","310","0.91",
"311","311","0.91",
"312","312","0.91",
"313","313","0.91",
"314","314","0.91",
"315","315","0.91",
"316","316","0.91",
"317","317","0.91",
"318","318","0.91",
"319","319","0.91",
"320","320","0.92",
"321","321","0.92",
"322","322","0.92",
"323","323","0.92",
"324","324","0.92",
"325","325","0.92",
"326","326","0.92",
"327","327","0.92",
"328","328","0.92",
"329","329","0.92",
"330","330","0.92",
"331","331","0.92",
"332","332","0.92",
"333","333","0.92",
"334","334","0.92",
"335","335","0.92",
"336","336","0.92",
"337","337","0.92",
"338","338","0.92",
"339","339","0.92",
"340","340","0.93",
"341","341","0.93",
"342","342","0.93",
"343","343","0.93",
"344","344","0.93",
"345","345","0.93",
"346","346","0.93",
"347","347","0.93",
"348","348","0.93",
"349","349","0.93",
"350","350","0.94",
"351","351","0.94",
"352","352","0.94",
"353","353","0.94",
"354","354","0.94",
"355","355","0.94",
"356","356","0.94",
"357","357","0.94",
"358","358","0.94",
"359","359","0.94",
"360","360","0.94",
"361","361","0.94",
"362","362","0.94",
"363","363","0.94",
"364","364","0.94",
"365","365","0.94",
"366","366","0.94",
"367","367","0.94",
"368","368","0.94",
"369","369","0.94",
"370","370","0.95",
"371","371","0.95",
"372","372","0.95",
"373","373","0.95",
"374","374","0.95",
"375","375","0.95",
"376","376","0.95",
"377","377","0.95",
"378","378","0.95",
"379","379","0.95",
"380","380","0.95",
"381","381","0.95",
"382","382","0.95",
"383","383","0.95",
"384","384","0.95",
"385","385","0.95",
"386","386","0.95",
"387","387","0.95",
"388","388","0.95",
"389","389","0.95",
"390","390","0.96",
"391","391","0.96",
"392","392","0.96",
"393","393","0.96",
"394","394","0.96",
"395","395","0.96",
"396","396","0.96",
"397","397","0.96",
"398","398","0.96",
"399","399","0.96",
"400","400","0.97",
"401","401","0.97",
"402","402","0.97",
"403","403","0.97",
"404","404","0.97",
"405","405","0.97",
"406","406","0.97",
"407","407","0.97",
"408","408","0.97",
"409","409","0.97",
"410","410","0.97",
"411","411","0.97",
"412","412","0.97",
"413","413","0.97",
"414","414","0.97",
"415","415","0.97",
"416","416","0.97",
"417","417","0.97",
"418","418","0.97",
"419","419","0.97",
"420","420","0.98",
"421","421","0.98",
"422","422","0.98",
"423","423","0.98",
"424","424","0.98",
"425","425","0.98",
"426","426","0.98",
"427","427","0.98",
"428","428","0.98",
"429","429","0.98",
"430","430","0.98",
"431","431","0.98",
"432","432","0.98",
"433","433","0.98",
"434","434","0.98",
"435","435","0.98",
"436","436","0.98",
"437","437","0.98",
"438","438","0.98",
"439","439","0.98",
"440","440","0.99",
"441","441","0.99",
"442","442","0.99",
"443","443","0.99",
"444","444","0.99",
"445","445","0.99",
"446","446","0.99",
"447","447","0.99",
"448","448","0.99",
"449","449","0.99",
"450","450","0.99",
"451","451","0.99",
"452","452","0.99",
"453","453","0.99",
"454","454","0.99",
"455","455","0.99",
"456","456","0.99",
"457","457","0.99",
"458","458","0.99",
"459","459","0.99",
"460","460","0.99",
"461","461","0.99",
"462","462","0.99",
"463","463","0.99",
"464","464","0.99",
"465","465","0.99",
"466","466","0.99",
"467","467","0.99",
"468","468","0.99",
"469","469","0.99",
"470","470","0.99",
"471","471","0.99",
"472","472","0.99",
"473","473","0.99",
"474","474","0.99",
"475","475","0.99",
"476","476","0.99",
"477","477","0.99",
"478","478","0.99",
"479","479","0.99",
"480","480","0.99",
"481","481","0.99",
"482","482","0.99",
"483","483","0.99",
"484","484","0.99",
"485","485","0.99",
"486","486","0.99",
"487","487","0.99",
"488","488","0.99",
"489","489","0.99",
"490","490","0.99",
"491","491","0.99",
"492","492","0.99",
"493","493","0.99",
"494","494","0.99",
"495","495","0.99",
"496","496","0.99",
"497","497","0.99",
"498","498","0.99",
"499","499","0.99",
"500","500","0.99",
"501","501","0.99",
"502","502","0.99",
"503","503","0.99",
"504","504","0.99",
"505","505","0.99",
"506","506","0.99",
"507","507","0.99",
"508","508","0.99",
"509","509","0.99",
"510","510","0.99",
"511","511","0.99",
"512","512","0.99",
"513","513","0.99",
"514","514","0.99",
"515","515","0.99",
"516","516","0.99",
"517","517","0.99",
"518","518","0.99",
"519","519","0.99",
"520","520","0.99",
"521","521","0.99",
"522","522","0.99",
"523","523","0.99",
"524","524","0.99",
"525","525","0.99",
"526","526","0.99",
"527","527","0.99",
"528","528","0.99",
"529","529","0.99",
"530","530","0.99",
"531","531","0.99",
"532","532","0.99",
"533","533","0.99",
"534","534","0.99",
"535","535","0.99",
"536","536","0.99",
"537","537","0.99",
"538","538","0.99",
"539","539","0.99",
"540","540","0.99",
"541","541","0.99",
"542","542","0.99",
"543","543","0.99",
"544","544","0.99",
"545","545","0.99",
"546","546","0.99",
"547","547","0.99",
"548","548","0.99",
"549","549","0.99",
"550","550","0.99",
"551","551","0.99",
"552","552","0.99",
"553","553","0.99",
"554","554","0.99",
"555","555","0.99",
"556","556","0.99",
"557","557","0.99",
"558","558","0.99",
"559","559","0.99",
"560","560","0.99",
"561","561","0.99",
"562","562","0.99",
"563","563","0.99",
"564","564","0.99",
"565","565","0.99",
"566","566","0.99",
"567","567","0.99",
"568","568","0.99",
"569","569","0.99",
"570","570","0.99",
"571","571","0.99",
"572","572","0.99",
"573","573","0.99",
"574","574","0.99",
"575","575","0.99",
"576","576","0.99",
"577","577","0.99",
"578","578","0.99",
"579","579","0.99",
"580","580","0.99",
"581","581","0.99",
"582","582","0.99",
"583","583","0.99",
"584","584","0.99",
"585","585","0.99",
"586","586","0.99",
"587","587","0.99",
"588","588","0.99",
"589","589","0.99",
"590","590","0.99",
"591","591","0.99",
"592","592","0.99",
"593","593","0.99",
"594","594","0.99",
"595","595","0.99",
"596","596","0.99",
"597","597","0.99",
"598","598","0.99",
"599","599","0.99",
"600","99999","1",